year,m1_mean_weekly_hours,m1_pct_40plus_hours,m2_cpi_all_items,m2_cpi_food,m2_median_household_income_sgd,m2_real_income_change_pct,m2_gini_coefficient,m2_gdp_per_capita_sgd,m2_income_per_person_sgd,m2_gdp_vs_income_gap_x,m3_hdb_resale_price_index,m3_hdb_median_resale_price,m3_hdb_resale_transactions,m4_life_ladder,m4_freedom_score,m4_social_support,m4_positive_affect,m4_negative_affect,m5_pct_deaths_cancer,m5_pct_deaths_cerebrovascular_disease_including_stroke,m5_pct_deaths_external_causes_of_morbidity_and_mortality,m5_pct_deaths_ischaemic_heart_disease,m5_pct_deaths_pneumonia
2010,46.6,88.3,75.09933333333333,70.17208333333333,6350.0,2.8,0.4485,64408.0,2041.8006430868168,2.628725459317585,118.6,,,6.531,0.846,0.864,0.527,0.131,28.5,8.4,,18.7,15.7
2011,45.9,87.3,79.04291666666667,72.31441666666667,7040.0,5.5,0.44799999999999995,67783.0,2263.6655948553057,2.4953258759469694,132.475,,,6.561,0.822,0.904,0.404,0.144,30.0,9.0,,16.4,16.0
2012,45.6,87.4,82.66375000000001,73.99125,7570.0,2.7,0.45499999999999996,69417.0,2434.0836012861737,2.3765617569352706,142.15,,,,,,,,30.1,,5.6,,16.8
2013,45.3,87.1,84.61825,75.54058333333333,7882.0,1.7,0.436,71283.0,2534.4051446945336,2.3438438848008123,147.975,,,6.533,0.827,0.808,0.663,0.148,30.5,,4.9,,18.5
2014,44.3,85.6,85.4925,77.72691666666667,8297.0,4.0,0.4375,72938.0,2667.8456591639874,2.2783052107187336,140.275,,,7.062,0.835,0.822,0.774,0.18,29.4,,4.7,,19.0
2015,44.2,84.8,85.04625,79.22991666666667,8673.0,4.9,0.436,76503.0,2788.7459807073956,2.2860633575464084,135.0,,,6.62,0.887,0.866,0.736,0.142,29.7,,4.5,,19.4
2016,43.4,84.7,84.59566666666667,80.86791666666666,8867.0,2.7,0.4295,79030.0,2851.1254019292605,2.309906582459306,134.67499999999998,,,6.033,0.904,0.925,0.745,0.111,29.6,,4.4,,19.3
2017,43.2,84.3,85.08358333333334,82.00574999999999,9044.0,1.5,0.4305,84838.0,2908.0385852090035,2.4311346380657524,133.25,410000.0,20509.0,6.378,0.926,0.897,0.75,0.179,29.1,,4.0,,20.1
2018,43.0,83.6,85.45691666666666,83.18466666666667,9315.0,2.6,0.4305,90416.0,2995.1768488745984,2.5155999284308463,131.575,408000.0,21561.0,6.375,0.916,0.903,0.731,0.107,28.8,,4.3,,20.6
2019,42.9,83.6,85.94216666666667,84.44924999999999,9442.0,0.9,0.42500000000000004,90128.0,3036.0128617363343,2.47385864576714,131.05,400000.0,22186.0,6.378,0.938,0.925,0.674,0.138,28.4,,4.0,,20.7
2020,42.8,82.9,85.79424999999999,86.01825000000001,9208.0,-2.4,0.4135,85230.0,2960.7717041800643,2.398867832319722,133.85,425000.0,23333.0,,,,,,28.6,,3.7,,18.5
2021,42.4,83.5,87.78133333333334,87.26583333333333,9544.0,1.6,0.4145,108667.0,3068.8102893890677,2.9508449462140263,148.725,483000.0,29087.0,6.587,0.879,0.876,0.697,0.16,26.4,,3.3,,18.4
2022,42.2,83.2,93.16316666666667,91.90174999999999,10120.0,0.2,0.4075,125773.0,3254.0192926045015,3.220965332674572,165.85,525000.0,26720.0,6.333,0.873,0.852,0.688,0.209,23.9,,3.3,,20.0
2023,41.9,83.8,97.66641666666668,97.24008333333335,10882.0,2.7,0.402,115993.0,3499.0353697749197,2.7624994639465785,177.175,550000.0,25754.0,6.654,0.861,0.916,0.667,0.19,,,,,
2024,41.6,82.6,100.00016666666666,100.0,11314.0,1.4,0.39949999999999997,126803.0,3637.9421221864955,2.904641226209416,190.6,590000.0,27832.0,,,,,,,,,,
2025,41.4,,100.90316666666666,101.18016666666666,12027.0,5.4,0.39249999999999996,129194.0,3867.202572347267,2.783967600676256,202.8,628000.0,25085.0,,,,,,,,,,
