year,category,cpi
2008,General,72.606
2008,Health,71.445
2009,General,73.033
2009,Health,72.752
2010,General,75.099
2010,Health,74.092
2011,General,79.043
2011,Health,75.868
2012,General,82.664
2012,Health,79.281
2013,General,84.618
2013,Health,82.374
2014,General,85.493
2014,Health,84.722
2015,General,85.046
2015,Health,84.575
2016,General,84.596
2016,Health,85.46
2017,General,85.084
2017,Health,87.628
2018,General,85.457
2018,Health,89.436
2019,General,85.942
2019,Health,90.49
2020,General,85.794
2020,Health,89.099
2021,General,87.781
2021,Health,90.108
2022,General,93.163
2022,Health,92.083
2023,General,97.666
2023,Health,96.238
2024,General,100
2024,Health,100
